"","FileName_1","FileName_2","FileName_3","FileName_4","FileName_5","FileName_6","FileName_7","FileName_8","m.cx","m.cy","m.majoraxis","m.eccentricity","m.theta","s.area","s.perimeter","s.radius.mean","s.radius.sd","s.radius.min","s.radius.max"
"158","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",530.085964912281,689.882456140351,67.587313744746,0.982182956810611,0.414406677305938,570,130,16.8666125324314,8.54074726996109,2.42184339786601,31.004775352751
"159","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",946.180288461538,686.216346153846,42.0197776753042,0.93882664334621,0.0954765035221589,416,90,11.5228324978142,5.23309840167742,0.826714455010588,19.560024741836
"160","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",985.679324894515,690.413502109705,26.7330537801036,0.861388012358715,0.172801606433212,237,64,8.19857424682997,3.15840450086612,1.5944391892214,12.6446030514257
"161","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",594,687,5.08967208225153,0,0,21,12,2.15737865166653,0.111283511807396,2,2.23606797749979
"162","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",665.714285714286,689.938775510204,9.26443442409056,0.689300149451391,-1.25512469890919,49,20,3.52768122336396,0.531944721118065,2.55391855782445,4.32695042726398
"163","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",605.920454545455,691.102272727273,16.3972811414536,0.899713251150686,0.290707545245979,88,33,4.8816158350522,1.75677657578386,1.31145969747774,7.32318355957292
"164","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",474,691,5.08967208225153,0,0,21,12,2.15737865166653,0.111283511807396,2,2.23606797749979
"165","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",455.633333333333,698.366666666667,6.49101943713792,0.450971759031314,0.785398163343105,30,15,2.65795713475346,0.215348510383208,2.35702260395515,2.98142396999975
"166","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",611.627777777778,701.866666666667,24.3804868045967,0.91129249285106,0.099711422160676,180,53,7.52395727605609,2.54784742522865,2.88006368348557,11.6914923442658
"167","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",468.898550724638,704.608695652174,10.6184448668238,0.621400177473333,-0.915057945140655,69,25,4.25406801374024,0.517402487887491,3.27951215884311,5.20338351459894
"168","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",444.732142857143,709.785714285714,14.5252760446544,0.921071584847464,-1.20294911852844,56,29,3.78065111630087,1.76614868559224,0.372988062978992,6.10266895472689
"169","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",885.503355704698,723.312080536913,37.6311465930375,0.955928215339903,-1.50865610621449,298,76,10.4868029415195,4.34956982867812,2.93173131041271,17.6154924652206
"170","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",666.408805031446,714.559748427673,17.8882317538624,0.76030285544458,1.03648054734226,159,42,6.71057541790619,1.28148891597715,4.17672255936024,9.10087708513972
"171","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",998.368421052632,713.552631578947,8.52258420261118,0.749001038980876,1.25891720504862,38,18,3.0419603754674,0.587573404933403,1.68691405007653,3.85300908542215
"172","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",369.580299785867,730.614561027837,40.5276504914156,0.918109876817606,0.654777252611457,467,89,12.5372317401604,4.517356371867,4.34289648798067,20.4869393148314
"173","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",432.449275362319,721.768115942029,14.38802929483,0.900631264273795,-1.21797668911312,69,28,4.40921122131756,1.44329175833747,1.89285714285712,6.54195642583707
"174","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",374,719.5,6.20173672949508,0.544058820354937,1.5707963267949,26,14,2.42975291896459,0.246143184079399,2.06155281280883,2.69258240356725
"175","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",914.303964757709,753.678414096916,32.3768181587449,0.948110130676699,1.28195943437026,227,66,8.85965891623581,3.84165074352866,2.44447053162468,15.2605546127614
"176","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",430.8625,745.6875,10.9802508096677,0.49713308482785,-0.804532394231153,80,28,4.58543154873184,0.570840019813995,3.20793022469796,5.60657412948296
"177","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",1007.7803030303,758.530303030303,24.4330524970595,0.819377030380876,-1.24329285560887,264,56,8.86530783684691,1.92113397071911,5.84940691219971,12.2183055206489
"178","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",431.739130434783,763.086956521739,11.5878832118789,0.75646808374582,1.27803228596734,69,25,4.2566025859718,0.789768589586942,2.76723688902847,5.48977230857532
"179","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",906.043859649123,771.368421052632,15.6558654586816,0.781084626097575,1.16264125472952,114,37,5.57256543543868,1.31123657235798,2.55958931146953,7.70820097741715
"180","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",437.506172839506,777.148148148148,14.9327669130543,0.883555937721164,0.680216446655514,81,30,4.77975013083937,1.40893569684787,2.41568945759915,6.90667953666756
"181","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",736.49494949495,780.191919191919,12.4726069919447,0.568439725224822,-1.30659078863024,99,31,5.15872000765724,0.61332004093077,3.60266406225639,6.16534235951174
"182","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",769.333333333333,784.64,17.4112267388831,0.772996315718417,0.57787163467215,150,39,6.53980862171265,1.17731230759339,4.7742598243581,8.56041683317232
"183","InputImages/CropMAX","IL6-4","S","2biorep","6hTBO","AB","midV","1.jpg",428.386363636364,793.068181818182,9.51693966545998,0.788659213196236,1.33752914616581,44,20,3.30799866011166,0.705085005300379,1.88679622641134,4.30813184570761
