"","FileName_1","FileName_2","FileName_3","FileName_4","FileName_5","FileName_6","FileName_7","FileName_8","m.cx","m.cy","m.majoraxis","m.eccentricity","m.theta","s.area","s.perimeter","s.radius.mean","s.radius.sd","s.radius.min","s.radius.max"
"1","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",441.828125,7.6953125,15.601407862656,0.698892609549265,1.24382243246673,128,41,5.88066995942169,1.18617575274412,3.44446896466532,8.05838303757334
"2","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",822.921568627451,2.17647058823529,17.3462171441412,0.973580919610268,0.0393172896980618,51,32,4.28754730019113,2.08011996916615,1.03503094760495,7.57933302227181
"3","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",837.132352941176,5.61764705882353,15.1301976495647,0.880318718956183,-0.908833598954539,68,35,4.22536192882667,1.73681336131861,0.43236417001204,6.77715249336822
"4","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",860.769736842105,13.9802631578947,15.6229248853607,0.433410061379769,-0.882434111302876,152,51,6.17416553443657,1.54778401437156,1.93363558071722,8.88674522402119
"5","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",442.709677419355,22.4516129032258,12.5513979124145,0.859325853816599,-1.41320228785069,62,26,4.08977557508677,1.10072956165848,2.23275773441537,5.74327494558563
"6","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",729,61,5.08967208225153,1.83583878264258e-06,0,21,12,2.15737865166653,0.111283511807396,2,2.23606797749979
"7","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",535.740963855422,69.3132530120482,18.1918454979554,0.759672186685891,1.1943208391264,166,41,6.87430461806578,1.27869943554961,4.06790955673895,9.00875375728348
"8","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",714.171428571429,77.6857142857143,7.44649699535766,0.602835677605855,-0.31863936820962,35,17,2.88694205881356,0.36899022256348,2.07222528868333,3.42997170285013
"9","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",658.556400506971,113.412547528517,128.83681569864,0.989274968788098,-0.512654476259642,1578,298,30.0171716629585,17.0527183021297,2.31272577470526,59.3836890569485
"10","InputImages/CropMAX","SP","S","5biorep","5hTBO","AB","midV","2.jpg",844.668571428571,92.9428571428571,18.873313410327,0.736572899713797,0.638687079818941,175,48,6.98525978799304,1.59330190862408,2.86517039438998,9.69970109791473
