"","FileName_1","FileName_2","FileName_3","FileName_4","FileName_5","FileName_6","FileName_7","FileName_8","m.cx","m.cy","m.majoraxis","m.eccentricity","m.theta","s.area","s.perimeter","s.radius.mean","s.radius.sd","s.radius.min","s.radius.max"
"102","InputImages/CropMAX","SL","C","4biorep","3.5hTBO","1AB","midV","1.jpg",816.843373493976,415.753012048193,23.7894544379037,0.913934521414489,0.474970069301404,166,47,7.19322630059384,2.50890738322814,2.94363835931026,11.0108798411167
"103","InputImages/CropMAX","SL","C","4biorep","3.5hTBO","1AB","midV","1.jpg",683.314285714286,417.171428571429,7.44649699535003,0.60283567758871,1.25215695858503,35,17,2.88694205881356,0.368990222563483,2.0722252886834,3.42997170285017
"104","InputImages/CropMAX","SL","C","4biorep","3.5hTBO","1AB","midV","1.jpg",396.338729763387,437.596513075965,68.2103418483458,0.94832268756073,-0.731960388998166,803,142,18.6558655779761,8.23873481474149,0.739403084417252,33.4869781084638
"105","InputImages/CropMAX","SL","C","4biorep","3.5hTBO","1AB","midV","1.jpg",754.16265060241,429.072289156626,22.8142765731562,0.903939220900546,-0.816526153610429,166,46,7.23055799315917,2.3075725819535,3.23745214764903,11.0395833597172
"106","InputImages/CropMAX","SL","C","4biorep","3.5hTBO","1AB","midV","1.jpg",838.797101449275,427.391304347826,16.6933587804013,0.764793942463803,0.975052166980316,138,38,6.30054254675294,1.15752633562441,4.80571278233108,8.49706646461913
"107","InputImages/CropMAX","SL","C","4biorep","3.5hTBO","1AB","midV","1.jpg",939.5,422,6.20173672949508,0.544058820354937,0,26,14,2.42975291896459,0.246143184079399,2.06155281280883,2.69258240356725
"108","InputImages/CropMAX","SL","C","4biorep","3.5hTBO","1AB","midV","1.jpg",596.490196078431,424.392156862745,9.29214751804264,0.6590485131694,-0.875442280750083,51,21,3.6045803200771,0.485824720885564,2.45134050975882,4.39799995772148
"109","InputImages/CropMAX","SL","C","4biorep","3.5hTBO","1AB","midV","1.jpg",709.832214765101,431.906040268456,25.0600484222741,0.942684617681693,0.580135946502594,149,48,6.99130793560379,2.96764944201208,1.00108448139452,11.494658330672
"110","InputImages/CropMAX","SL","C","4biorep","3.5hTBO","1AB","midV","1.jpg",939,445,5.08967208225153,0,0,21,12,2.15737865166653,0.111283511807396,2,2.23606797749979
"111","InputImages/CropMAX","SL","C","4biorep","3.5hTBO","1AB","midV","1.jpg",325.644444444444,448.844444444444,8.77979015769909,0.656288670783566,1.10429296588965,45,20,3.34602967086313,0.521138601241171,2.32002155162404,4.16923254328662
